Protein,Protein ID,Entry Name,Gene,Length,Is Decoy,Is Contaminant,Organism,Protein Description,Protein Existence,Coverage,Protein Probability,Top Peptide Probability,Protein Qvalue,Total Peptides,Unique Peptides,Razor Peptides,Total Spectral Count,Unique Spectral Count,Razor Spectral Count,Total Intensity,Unique Intensity,Razor Intensity,Razor Assigned Modifications,Razor Observed Modifications,Indistinguishable Proteins
sp|P01857|IGHG1_HUMAN,P01857,IGHG1_HUMAN,IGHG1,399,false,false,Homo sapiens,Immunoglobulin heavy constant gamma 1,1:Experimental evidence at protein level,52.88,1.0000,0.9990,0.00000000000000,18,9,18,28,13,28,     0,     0,     0,"11C(57.0214), 12C(57.0214), 12M(15.9949), 13C(57.0214), 23C(57.0214), 4C(57.0214), 4M(15.9949), 6C(57.0214), 7C(57.0214), 9C(57.0214)",,
sp|P01859|IGHG2_HUMAN,P01859,IGHG2_HUMAN,IGHG2,395,false,false,Homo sapiens,Immunoglobulin heavy constant gamma 2,1:Experimental evidence at protein level,35.44,1.0000,0.9990,0.00000000000000,11,4,5,21,7,9,     0,     0,     0,"11C(57.0214), 5M(15.9949)",,
sp|P01860|IGHG3_HUMAN,P01860,IGHG3_HUMAN,IGHG3,446,false,false,Homo sapiens,Immunoglobulin heavy constant gamma 3,1:Experimental evidence at protein level,45.74,1.0000,0.9989,0.00000000000000,16,7,9,27,11,16,     0,     0,     0,"10C(57.0214), 13C(57.0214), 14M(15.9949), 1C(57.0214), 2C(57.0214), 4M(15.9949), 6C(57.0214), 8C(57.0214), 9C(57.0214)",,
sp|P01861|IGHG4_HUMAN,P01861,IGHG4_HUMAN,IGHG4,396,false,false,Homo sapiens,Immunoglobulin heavy constant gamma 4,1:Experimental evidence at protein level,47.73,1.0000,0.9990,0.00000000000000,13,6,6,20,8,8,     0,     0,     0,"12M(15.9949), 4C(57.0214), 5C(57.0214), 8C(57.0214), 9C(57.0214)",,
sp|P01871|IGHM_HUMAN,P01871,IGHM_HUMAN,IGHM,474,false,false,Homo sapiens,Immunoglobulin heavy constant mu,1:Experimental evidence at protein level,42.41,1.0000,0.9990,0.00000000000000,19,19,19,28,28,28,     0,     0,     0,"12C(57.0214), 24C(57.0214), 3C(57.0214)",,
sp|P01876|IGHA1_HUMAN,P01876,IGHA1_HUMAN,IGHA1,398,false,false,Homo sapiens,Immunoglobulin heavy constant alpha 1,1:Experimental evidence at protein level,40.70,1.0000,0.9990,0.00000000000000,11,7,11,17,12,17,     0,     0,     0,"26C(57.0214), 29C(57.0214), 4C(57.0214), 6C(57.0214), 7C(57.0214), 7M(15.9949), 8M(15.9949)",,
sp|P01877|IGHA2_HUMAN,P01877,IGHA2_HUMAN,IGHA2,391,false,false,Homo sapiens,Immunoglobulin heavy constant alpha 2,1:Experimental evidence at protein level,23.79,1.0000,0.9989,0.00000000000000,6,2,2,8,3,3,     0,     0,     0,6C(57.0214),,
sp|P01880|IGHD_HUMAN,P01880,IGHD_HUMAN,IGHD,430,false,false,Homo sapiens,Immunoglobulin heavy constant delta,1:Experimental evidence at protein level,11.86,1.0000,0.9928,0.00000000000000,4,4,4,4,4,4,     0,     0,     0,,,
