Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	7	7	7	     0	     0	     0	17M(15.9949)		
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	false	false	Homo sapiens	Probable non-functional immunoglobulin kappa variable 2D-24	1:Experimental evidence at protein level	38.33	1.0000	0.9985	0.00000000000000	3	0	3	3	0	3	     0	     0	     0			sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-27	1:Experimental evidence at protein level	13.68	1.0000	0.9988	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A0B4J1V0|HV315_HUMAN	A0A0B4J1V0	HV315_HUMAN	IGHV3-15	119	false	false	Homo sapiens	Immunoglobulin heavy variable 3-15	1:Experimental evidence at protein level	35.29	1.0000	0.9981	0.00000000000000	5	3	5	5	3	5	     0	     0	     0			
sp|A0A0C4DH72|KV106_HUMAN	A0A0C4DH72	KV106_HUMAN	IGKV1-6	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-6	1:Experimental evidence at protein level	21.37	1.0000	0.9989	0.00000000000000	2	0	2	3	0	3	     0	     0	     0			
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	44.39	1.0000	0.9990	0.00000000000000	7	1	6	10	1	8	     0	     0	     0	4C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	34.92	1.0000	0.9987	0.00000000000000	13	13	13	14	14	14	     0	     0	     0			
sp|O43866|CD5L_HUMAN	O43866	CD5L_HUMAN	CD5L	347	false	false	Homo sapiens	CD5 antigen-like	1:Experimental evidence at protein level	23.05	1.0000	0.9919	0.00000000000000	6	6	6	6	6	6	     0	     0	     0	10C(57.0214), 1C(57.0214), 4C(57.0214), 6C(57.0214), 7C(57.0214), 8C(57.0214)		
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	36.17	1.0000	0.9989	0.00000000000000	4	4	4	5	5	5	     0	     0	     0			
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	53.71	1.0000	0.9990	0.00000000000000	47	47	47	67	67	67	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 13C(57.0214), 18C(57.0214), 1M(15.9949), 3C(57.0214), 6C(57.0214)		
