Protein	Protein ID	Entry Name	Gene	Length	Is Decoy	Is Contaminant	Organism	Protein Description	Protein Existence	Coverage	Protein Probability	Top Peptide Probability	Protein Qvalue	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins
contam_sp|P00761|TRYP_PIG	P00761	TRYP_PIG		231	false	true	Sus scrofa	Trypsin	1:Experimental evidence at protein level	25.11	1.0000	0.9990	0.00000000000000	4	4	4	7	7	7	     0	     0	     0	17M(15.9949)		
sp|A0A075B6R9|KVD24_HUMAN	A0A075B6R9	KVD24_HUMAN	IGKV2D-24	120	false	false	Homo sapiens	Probable non-functional immunoglobulin kappa variable 2D-24	1:Experimental evidence at protein level	32.50	1.0000	0.9988	0.00000000000000	3	0	3	3	0	3	     0	     0	     0			sp|A0A0C4DH68|KV224_HUMAN
sp|A0A075B6S5|KV127_HUMAN	A0A075B6S5	KV127_HUMAN	IGKV1-27	117	false	false	Homo sapiens	Immunoglobulin kappa variable 1-27	1:Experimental evidence at protein level	13.68	1.0000	0.9990	0.00000000000000	1	0	1	2	0	2	     0	     0	     0			sp|A0A0C4DH67|KV108_HUMAN, sp|A0A0C4DH69|KV109_HUMAN
sp|A0A0C4DH38|HV551_HUMAN	A0A0C4DH38	HV551_HUMAN	IGHV5-51	117	false	false	Homo sapiens	Immunoglobulin heavy variable 5-51	1:Experimental evidence at protein level	47.01	1.0000	0.9935	0.00000000000000	4	2	4	6	3	6	     0	     0	     0	9C(57.0214)		
sp|B9A064|IGLL5_HUMAN	B9A064	IGLL5_HUMAN	IGLL5	214	false	false	Homo sapiens	Immunoglobulin lambda-like polypeptide 5	1:Experimental evidence at protein level	44.39	1.0000	0.9990	0.00000000000000	7	1	7	10	1	10	     0	     0	     0	4C(57.0214), 5C(57.0214), 7C(57.0214)		
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	false	false	Homo sapiens	Apolipoprotein L1	1:Experimental evidence at protein level	38.19	1.0000	0.9989	0.00000000000000	13	13	13	14	14	14	     0	     0	     0			
sp|O43866|CD5L_HUMAN	O43866	CD5L_HUMAN	CD5L	347	false	false	Homo sapiens	CD5 antigen-like	1:Experimental evidence at protein level	13.26	1.0000	0.9905	0.00000000000000	5	5	5	5	5	5	     0	     0	     0	10C(57.0214), 1C(57.0214), 6C(57.0214), 8C(57.0214)		
sp|O75636|FCN3_HUMAN	O75636	FCN3_HUMAN	FCN3	299	false	false	Homo sapiens	Ficolin-3	1:Experimental evidence at protein level	18.06	1.0000	0.9968	0.00000000000000	5	5	5	5	5	5	     0	     0	     0			
sp|O75882|ATRN_HUMAN	O75882	ATRN_HUMAN	ATRN	1429	false	false	Homo sapiens	Attractin	1:Experimental evidence at protein level	5.11	1.0000	0.9962	0.00000000000000	7	7	7	7	7	7	     0	     0	     0			
sp|O95445|APOM_HUMAN	O95445	APOM_HUMAN	APOM	188	false	false	Homo sapiens	Apolipoprotein M	1:Experimental evidence at protein level	44.68	1.0000	0.9990	0.00000000000000	6	6	6	7	7	7	     0	     0	     0	4C(57.0214), 5C(57.0214)		
sp|O95678|K2C75_HUMAN	O95678	K2C75_HUMAN	KRT75	551	false	false	Homo sapiens	Keratin, type II cytoskeletal 75	1:Experimental evidence at protein level	31.22	1.0000	0.9987	0.00000000000000	19	9	16	21	9	18	     0	     0	     0			
sp|P00450|CERU_HUMAN	P00450	CERU_HUMAN	CP	1065	false	false	Homo sapiens	Ceruloplasmin	1:Experimental evidence at protein level	53.62	1.0000	0.9990	0.00000000000000	45	45	45	69	69	69	     0	     0	     0	10C(57.0214), 10M(15.9949), 11C(57.0214), 13C(57.0214), 18C(57.0214), 1M(15.9949), 3C(57.0214), 6C(57.0214)		
sp|P00488|F13A_HUMAN	P00488	F13A_HUMAN	F13A1	732	false	false	Homo sapiens	Coagulation factor XIII A chain	1:Experimental evidence at protein level	18.99	1.0000	0.9979	0.00000000000000	11	11	11	11	11	11	     0	     0	     0			
sp|P00734|THRB_HUMAN	P00734	THRB_HUMAN	F2	622	false	false	Homo sapiens	Prothrombin	1:Experimental evidence at protein level	37.14	1.0000	0.9990	0.00000000000000	18	18	18	23	23	23	     0	     0	     0	10C(57.0214), 11M(15.9949), 15C(57.0214), 19C(57.0214), 5C(57.0214), 7C(57.0214), 8C(57.0214), 9C(57.0214)		
sp|P00736|C1R_HUMAN	P00736	C1R_HUMAN	C1R	705	false	false	Homo sapiens	Complement C1r subcomponent	1:Experimental evidence at protein level	30.92	1.0000	0.9988	0.00000000000000	18	16	18	18	16	18	     0	     0	     0	10C(57.0214), 2C(57.0214), 9C(57.0214)		
sp|P00738|HPT_HUMAN	P00738	HPT_HUMAN	HP	406	false	false	Homo sapiens	Haptoglobin	1:Experimental evidence at protein level	45.07	1.0000	0.9990	0.00000000000000	22	10	22	33	18	33	     0	     0	     0	12C(57.0214), 15C(57.0214), 18M(15.9949), 2C(57.0214), 5C(57.0214)		
